datetime,year,doy,hour,f10,kp
1996-01-01 00:00:00,1996,1,0,75.1,1.0
1996-01-01 01:00:00,1996,1,1,75.08749999999999,0.6666666666666666
1996-01-01 02:00:00,1996,1,2,75.07499999999999,0.3333333333333333
1996-01-01 03:00:00,1996,1,3,75.0625,0.0
1996-01-01 04:00:00,1996,1,4,75.05,0.1
1996-01-01 05:00:00,1996,1,5,75.0375,0.2
1996-01-01 06:00:00,1996,1,6,75.02499999999999,0.3
1996-01-01 07:00:00,1996,1,7,75.01249999999999,0.6333333333333334
1996-01-01 08:00:00,1996,1,8,75.0,0.9666666666666668
1996-01-01 09:00:00,1996,1,9,74.9875,1.3
1996-01-01 10:00:00,1996,1,10,74.975,1.3
1996-01-01 11:00:00,1996,1,11,74.96249999999999,1.3
1996-01-01 12:00:00,1996,1,12,74.94999999999999,1.3
1996-01-01 13:00:00,1996,1,13,74.9375,1.2
1996-01-01 14:00:00,1996,1,14,74.925,1.1
1996-01-01 15:00:00,1996,1,15,74.9125,1.0
1996-01-01 16:00:00,1996,1,16,74.89999999999999,1.5666666666666669
1996-01-01 17:00:00,1996,1,17,74.8875,2.1333333333333337
1996-01-01 18:00:00,1996,1,18,74.875,2.7
1996-01-01 19:00:00,1996,1,19,74.8625,2.466666666666667
1996-01-01 20:00:00,1996,1,20,74.85,2.2333333333333334
1996-01-01 21:00:00,1996,1,21,74.83749999999999,2.0
1996-01-01 22:00:00,1996,1,22,74.825,1.9
1996-01-01 23:00:00,1996,1,23,74.8125,1.8
1996-01-02 00:00:00,1996,2,0,74.8,1.7
1996-01-02 01:00:00,1996,2,1,75.05,1.1333333333333333
1996-01-02 02:00:00,1996,2,2,75.3,0.5666666666666667
1996-01-02 03:00:00,1996,2,3,75.55,0.0
1996-01-02 04:00:00,1996,2,4,75.8,0.2333333333333333
1996-01-02 05:00:00,1996,2,5,76.05,0.4666666666666667
1996-01-02 06:00:00,1996,2,6,76.3,0.7
1996-01-02 07:00:00,1996,2,7,76.55,0.8
1996-01-02 08:00:00,1996,2,8,76.8,0.9
1996-01-02 09:00:00,1996,2,9,77.05,1.0
1996-01-02 10:00:00,1996,2,10,77.3,1.0
1996-01-02 11:00:00,1996,2,11,77.55,1.0
1996-01-02 12:00:00,1996,2,12,77.8,1.0
1996-01-02 13:00:00,1996,2,13,78.05,1.5666666666666669
1996-01-02 14:00:00,1996,2,14,78.3,2.1333333333333337
1996-01-02 15:00:00,1996,2,15,78.55,2.7
1996-01-02 16:00:00,1996,2,16,78.8,2.566666666666667
1996-01-02 17:00:00,1996,2,17,79.05,2.433333333333333
1996-01-02 18:00:00,1996,2,18,79.3,2.3
1996-01-02 19:00:00,1996,2,19,79.55,2.7666666666666666
1996-01-02 20:00:00,1996,2,20,79.8,3.2333333333333334
1996-01-02 21:00:00,1996,2,21,80.05,3.7
1996-01-02 22:00:00,1996,2,22,80.3,3.7
1996-01-02 23:00:00,1996,2,23,80.55,3.7
1996-01-03 00:00:00,1996,3,0,80.8,3.7
1996-01-03 01:00:00,1996,3,1,81.0125,2.8
1996-01-03 02:00:00,1996,3,2,81.225,1.9
1996-01-03 03:00:00,1996,3,3,81.4375,1.0
1996-01-03 04:00:00,1996,3,4,81.65,1.3333333333333337
1996-01-03 05:00:00,1996,3,5,81.8625,1.6666666666666667
1996-01-03 06:00:00,1996,3,6,82.075,2.0
1996-01-03 07:00:00,1996,3,7,82.2875,2.0
1996-01-03 08:00:00,1996,3,8,82.5,2.0
1996-01-03 09:00:00,1996,3,9,82.7125,2.0
1996-01-03 10:00:00,1996,3,10,82.925,2.2333333333333334
1996-01-03 11:00:00,1996,3,11,83.1375,2.466666666666667
1996-01-03 12:00:00,1996,3,12,83.35,2.7
1996-01-03 13:00:00,1996,3,13,83.5625,2.3666666666666667
1996-01-03 14:00:00,1996,3,14,83.775,2.033333333333333
1996-01-03 15:00:00,1996,3,15,83.9875,1.7
1996-01-03 16:00:00,1996,3,16,84.2,1.3666666666666667
1996-01-03 17:00:00,1996,3,17,84.41250000000001,1.0333333333333332
1996-01-03 18:00:00,1996,3,18,84.625,0.7
1996-01-03 19:00:00,1996,3,19,84.8375,0.9
1996-01-03 20:00:00,1996,3,20,85.05000000000001,1.1
1996-01-03 21:00:00,1996,3,21,85.2625,1.3
1996-01-03 22:00:00,1996,3,22,85.47500000000001,1.2
1996-01-03 23:00:00,1996,3,23,85.6875,1.1
1996-01-04 00:00:00,1996,4,0,85.9,1.0
1996-01-04 01:00:00,1996,4,1,85.85833333333333,0.9
1996-01-04 02:00:00,1996,4,2,85.81666666666668,0.8
1996-01-04 03:00:00,1996,4,3,85.775,0.7
1996-01-04 04:00:00,1996,4,4,85.73333333333333,0.8
1996-01-04 05:00:00,1996,4,5,85.69166666666668,0.9
1996-01-04 06:00:00,1996,4,6,85.65,1.0
1996-01-04 07:00:00,1996,4,7,85.60833333333333,1.2333333333333334
1996-01-04 08:00:00,1996,4,8,85.56666666666668,1.4666666666666668
1996-01-04 09:00:00,1996,4,9,85.525,1.7
1996-01-04 10:00:00,1996,4,10,85.48333333333333,1.9
1996-01-04 11:00:00,1996,4,11,85.44166666666668,2.1
1996-01-04 12:00:00,1996,4,12,85.4,2.3
1996-01-04 13:00:00,1996,4,13,85.35833333333333,2.1
1996-01-04 14:00:00,1996,4,14,85.31666666666668,1.9
1996-01-04 15:00:00,1996,4,15,85.275,1.7
1996-01-04 16:00:00,1996,4,16,85.23333333333333,1.3666666666666667
1996-01-04 17:00:00,1996,4,17,85.19166666666668,1.0333333333333332
1996-01-04 18:00:00,1996,4,18,85.15,0.7
1996-01-04 19:00:00,1996,4,19,85.10833333333333,0.9
1996-01-04 20:00:00,1996,4,20,85.06666666666668,1.1
1996-01-04 21:00:00,1996,4,21,85.025,1.3
1996-01-04 22:00:00,1996,4,22,84.98333333333333,1.6333333333333333
1996-01-04 23:00:00,1996,4,23,84.94166666666668,1.9666666666666668
1996-01-05 00:00:00,1996,5,0,84.9,2.3
1996-01-05 01:00:00,1996,5,1,84.80833333333334,2.2
1996-01-05 02:00:00,1996,5,2,84.71666666666667,2.1
1996-01-05 03:00:00,1996,5,3,84.625,2.0
1996-01-05 04:00:00,1996,5,4,84.53333333333333,2.1
1996-01-05 05:00:00,1996,5,5,84.44166666666668,2.2
1996-01-05 06:00:00,1996,5,6,84.35000000000001,2.3
1996-01-05 07:00:00,1996,5,7,84.25833333333334,2.2
